Data,N°,Item,Atividade,Realizado,Unidade,Porcentagem,Status,H. Inicio,H. Fim,Total de horas,Comentário,Modelo
"=""02/08/2023""","=""428""","=""""","=""* PIACENTINI:( REVITALIZAÇÃO DO CAMINHO DE ROLAMENTO DA EP-313K-02) 
RI-427- MONTAGEM DE FORMA E FERRAGEM DE VIGA DO CAMINHO DE ROLAMENTO LADO PÁTIO C

* PIACENTINI:( TIE-IN 83/93 )
RI-427- EXECUÇÃO DE ATERRO HIDRÁLICO EM BAIXO DAS CORREIAS DO TIE-IN 83/93
RI-427- PERFURATRIZ AGUARDANDO MANUTENÇÃO.""","=""""","=""""","=""""","=""Em andamento""","=""""","=""""","=""""","=""""","=""Report Diário de Inspeção | Robson Mota"""
"=""01/08/2023""","=""395""","=""""","=""PROJETO PORTO NORTE
AMPLIAÇÃO DOS PÁTIOS
TR-3150KP-43
TR-313K-87
PROJETO 240 MTPA

ANÁLISE E VERIFICAÇÃO DE DOCUMENTAÇÃO REFERENTE AO DATABOOK APRESENTADO NO PROJETO DE AMPLIAÇÃO DOS PÁTIOS SUL - BERMA TR-313K-80.
Realizado verificação nos documentos apresentados pela contratada referente aos projetos de ampliação dos pátios sul, berma do TR-313K-80. 

PROCEDIMENTOS VALE

ES-S-401 Montagem Estrutura Metálica 
ES-M-401 Montagem Eletromecânica 
PR-E-255 Inspeção Estruturas Metálicas 
ES-T-401 Montagem Tubulações 
EG-M-402 Tratamento Superfície Pintura Proteção Acabamento 
PR-C-013 Preservação de Materiais Projetos""","=""""","=""""","=""""","=""Em andamento""","=""""","=""""","=""""","=""""","=""Report Diário de Inspeção | Allyson Peixoto"""
"=""01/08/2023""","=""356""","=""""","=""PROGRAMAÇÃO PARA O DIA 31/07/2023, SEGUNDA-FEIRA .

EMPRESA: Ômega Service / MCA

OBRA: LV - Sistema de Proteção de Combate ao Incêndio - SPCI.

ATIVIDADE: Levantamento dimensional (topográfico) para estudo de fechamento das linhas de diâmetro de 6"" referente as estações de Sprinklers -
325K-07 e 325K-09 no PIER III LAJE DE FINOS.- Sistema de Proteção de Combate ao Incêndio - SPCI. ✅""","=""""","=""""","=""""","=""Em andamento""","=""""","=""""","=""""","=""""","=""Report Diário de Inspeção I Abel Cavalcanti Jr."""
"=""01/08/2023""","=""356""","=""""","=""PROGRAMAÇÃO PARA O DIA 01/08/2023, TERÇA-FEIRA .

OBRA: LV - Sistema de Proteção de Combate ao Incêndio - SPCI.

ATIVIDADE: Levantamento dimensional (topográfico) para estudo de fechamento das linhas de diâmetro de 6"" referente as estações de Sprinklers -
325K-07 e 325K-09 no PIER III LAJE DE FINOS.- Sistema de Proteção de Combate ao Incêndio - SPCI. ✅""","=""""","=""""","=""""","=""Em andamento""","=""""","=""""","=""""","=""""","=""Report Diário de Inspeção I Abel Cavalcanti Jr."""
"=""01/08/2023""","=""356""","=""""","=""PROGRAMAÇÃO PARA O DIA 02/07/2023, QUARTA-FEIRA .

EMPRESA: Enesa Engenharia

OBRA: Programa 240 MTPA

ATIVIDADE: Verificação topográfica do relatório emitido N°ANE-TR44-008 e N°ANE-TR45-009. 

Alinhamento e nivelamento de equipamentos:
- Transportadores móveis TR-315K-44/45

""Nivelamento dos eixos motrizes dos acionamentos dos alimentadores AL-3150KP-01/TR-315K-44 e AL-3150KP-02/TR-315K-45""""","=""""","=""""","=""""","=""Em andamento""","=""""","=""""","=""""","=""""","=""Report Diário de Inspeção I Abel Cavalcanti Jr."""
"=""01/08/2023""","=""356""","=""""","=""PROGRAMAÇÃO PARA O DIA 03/08/2023, QUINTA-FEIRA .

EMPRESA: Piacentini

OBRA: Revitalização do Caminho de Rolamento da EP-02

ATIVIDADE: Acompanhamento junto a equipe topografia da Piacentini e verificação Ductor dos chumbadores das placas de apoio do caminho de rolamento Pátios ""B"" e ""C"".""","=""""","=""""","=""""","=""Em andamento""","=""""","=""""","=""""","=""""","=""Report Diário de Inspeção I Abel Cavalcanti Jr."""
"=""01/08/2023""","=""356""","=""""","=""PROGRAMAÇÃO PARA O DIA 04/08/2023, SEXTA-FEIRA .

EMPRESA: Piacentini

OBRA: Revitalização do Caminho de Rolamento da EP-02

ATIVIDADE: Processamento de dados para emissão do relatório topográfico referente ao levantamento de dados dos chumbadores realizado no dia 03/08/2023.""","=""""","=""""","=""""","=""Em andamento""","=""""","=""""","=""""","=""""","=""Report Diário de Inspeção I Abel Cavalcanti Jr."""
"=""01/08/2023""","=""68""","=""""","=""PROJETO 240 MTPA
CT-SI-3150KP-01
ENESA

INSPEÇÃO DE ÁREA SILO CT 3150 KP 01
Controle de torqueamento.
Montagem de estruturas.
Controle de serviços em soldagem.


PROCEDIMENTOS VALE:

ES-S-401 Montagem Estrutura Metálica 
PNR 000048 Integridade Estrutural - Estruturas de Aço
ES-M-401 Montagem Eletromecânica 
PR-E-255 Inspeção Estruturas Metálicas 
ES-T-401 Montagem Tubulações 
EG-M-402 Tratamento Superfície Pintura Proteção Acabamento 
PR-C-013 Preservação de Materiais Projetos""","=""""","=""""","=""""","=""Em andamento""","=""""","=""""","=""""","=""""","=""Report Diário de Inspeção I Clodomir Paixão Junior"""
"=""01/08/2023""","=""19""","=""""","=""PROJETO PORTO NORTE - S11D""","=""""","=""""","=""""","=""Iniciada""","=""""","=""""","=""""","=""""","=""Report Diário de Inspeção I Raimundo Gonçalves"""
"=""01/08/2023""","=""19""","=""""","=""1 - Inspeção na RP-313KP-09.""","=""""","=""""","=""""","=""Em andamento""","=""""","=""""","=""""","=""""","=""Report Diário de Inspeção I Raimundo Gonçalves"""
"=""01/08/2023""","=""19""","=""""","=""2 - Inspeção no TR313KP-91.""","=""""","=""""","=""""","=""Em andamento""","=""""","=""""","=""""","=""""","=""Report Diário de Inspeção I Raimundo Gonçalves"""
"=""01/08/2023""","=""19""","=""""","=""3 - Inspeção no CT-3150KP-01.""","=""""","=""""","=""""","=""Em andamento""","=""""","=""""","=""""","=""""","=""Report Diário de Inspeção I Raimundo Gonçalves"""
